16:30:27.072 [restartedMain] INFO  com.blog.NoteBlogV4Application - Starting NoteBlogV4Application on PC201810110456 with PID 10428 (C:\Users\Administrator\Desktop\git\blog\target\classes started by Administrator in C:\Users\Administrator\Desktop\git\blog) 
16:36:41.523 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default' 
16:36:41.973 [restartedMain] INFO  o.h.h.i.QueryTranslatorFactoryInitiator - HHH000397: Using ASTQueryTranslatorFactory 
16:36:42.491 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 80 (http) 
16:36:42.519 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
16:36:42.521 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.31 
16:36:42.525 [localhost-startStop-1] INFO  o.a.c.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jdk1.8.0_191\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;D:\Program Files\JetBrains\IntelliJ IDEA 2018.3\jbr\\bin;D:\Program Files\JetBrains\IntelliJ IDEA 2018.3\jbr\\bin\server;D:\apache-maven-3.6.0\bin;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files\Java\jdk1.8.0_191\bin;C:\Program Files\Java\jdk1.8.0_191\jre\bin;E:\apache-maven-3.6.0\bin;D:\node\;D:\node\node_global\;D:\Git\cmd;C:\Program Files\MongoDB\Server\4.0\bin;C:\Users\Administrator\AppData\Local\Programs\Python\Python37\Scripts\;C:\Users\Administrator\AppData\Local\Programs\Python\Python37\;D:\Microsoft VS Code\bin;.] 
16:36:42.686 [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext 
16:36:42.686 [localhost-startStop-1] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 7878 ms 
16:36:42.901 [localhost-startStop-1] INFO  o.s.b.w.s.ServletRegistrationBean - Servlet dispatcherServlet mapped to [/] 
16:36:42.902 [localhost-startStop-1] INFO  o.s.b.w.s.ServletRegistrationBean - Servlet statViewServlet mapped to [/druid/*] 
16:36:42.907 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*] 
16:36:42.908 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*] 
16:36:42.908 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*] 
16:36:42.908 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*] 
16:36:42.909 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'webStatFilter' to urls: [/*] 
16:36:43.988 [restartedMain] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
16:36:44.588 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@1841b296: startup date [Sat Oct 26 16:36:34 CST 2019]; root of context hierarchy 
16:36:44.597 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Detected @ModelAttribute methods in globalController 
16:36:44.641 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning 
16:36:44.679 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/registration],methods=[POST]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.EntranceController.register(java.lang.String,java.lang.String,java.lang.String,java.lang.String,javax.servlet.http.HttpServletRequest) 
16:36:44.681 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/registration],methods=[GET]}" onto public java.lang.String com.blog.web.EntranceController.registration() 
16:36:44.682 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/login],methods=[GET]}" onto public java.lang.String com.blog.web.EntranceController.login(javax.servlet.http.HttpServletRequest,java.lang.String) 
16:36:44.683 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/login],methods=[POST]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.EntranceController.login(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.String,com.blog.model.pojo.business.SimpleLoginData) 
16:36:44.683 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/qq]}" onto public java.lang.String com.blog.web.EntranceController.qqLogin(javax.servlet.http.HttpServletRequest) 
16:36:44.684 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/qqCallback]}" onto public java.lang.String com.blog.web.EntranceController.qqCallback(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.String) 
16:36:44.684 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/logout],methods=[GET]}" onto public java.lang.String com.blog.web.EntranceController.logout(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.String,java.lang.String) 
16:36:44.685 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/token/logout],methods=[GET]}" onto public java.lang.String com.blog.web.EntranceController.logout2(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.String,java.lang.String) 
16:36:44.687 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[application/json || application/x-www-form-urlencoded || multipart/form-data]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.ErrorController.error(javax.servlet.http.HttpServletRequest) 
16:36:44.687 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView com.blog.web.ErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) 
16:36:44.688 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/file]}" onto public java.lang.String com.blog.web.frontend.CloudFileController.file(org.springframework.ui.Model,java.lang.Long) 
16:36:44.689 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/file/list]}" onto public com.blog.model.pojo.framework.LayuiTable<com.blog.model.entity.NBCloudFile> com.blog.web.frontend.CloudFileController.cateList(com.blog.model.pojo.framework.Pagination<com.blog.model.entity.NBCloudFile>,java.lang.Long,java.lang.String) 
16:36:44.691 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/article/comments || /a/comments],methods=[POST]}" onto public org.springframework.data.domain.Page<com.blog.model.entity.NBComment> com.blog.web.frontend.content.ArticleController.comments(com.blog.model.pojo.framework.Pagination<com.blog.model.entity.NBComment>,com.blog.model.pojo.bo.CommentQueryBO) 
16:36:44.692 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/article/{aId} || /a/{aId}]}" onto public java.lang.String com.blog.web.frontend.content.ArticleController.article(java.lang.Long,org.springframework.ui.Model,com.blog.model.pojo.framework.Pagination<com.blog.model.entity.NBComment>,com.blog.model.pojo.bo.CommentQueryBO) 
16:36:44.692 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/article/u/{urlSeq} || /a/u/{urlSeq}]}" onto public java.lang.String com.blog.web.frontend.content.ArticleController.articleByUrl(java.lang.String,org.springframework.ui.Model,com.blog.model.pojo.framework.Pagination<com.blog.model.entity.NBComment>,com.blog.model.pojo.bo.CommentQueryBO) 
16:36:44.694 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/article/approve || /a/approve],methods=[POST]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.frontend.content.ArticleController.approve(java.lang.Long) 
16:36:44.694 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/token/comment/sub],methods=[POST]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.frontend.content.CommentController.sub(com.blog.model.entity.NBComment,org.springframework.validation.BindingResult,javax.servlet.http.HttpServletRequest) 
16:36:44.695 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/msg]}" onto public java.lang.String com.blog.web.frontend.content.MessageController.index(org.springframework.ui.Model,com.blog.model.pojo.framework.Pagination<com.blog.model.entity.NBMessage>,com.blog.model.pojo.bo.MessageQueryBO) 
16:36:44.695 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/msg/lists],methods=[POST]}" onto public org.springframework.data.domain.Page<com.blog.model.entity.NBMessage> com.blog.web.frontend.content.MessageController.comments(com.blog.model.pojo.framework.Pagination<com.blog.model.entity.NBMessage>,com.blog.model.pojo.bo.MessageQueryBO) 
16:36:44.695 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/token/msg/sub],methods=[POST]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.frontend.content.MessageController.sub(com.blog.model.entity.NBMessage,org.springframework.validation.BindingResult,javax.servlet.http.HttpServletRequest) 
16:36:44.697 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/note],methods=[GET]}" onto public java.lang.String com.blog.web.frontend.content.NoteController.index(org.springframework.ui.Model) 
16:36:44.697 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/note/next],methods=[POST]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.frontend.content.NoteController.next(com.blog.model.pojo.framework.Pagination<com.blog.model.entity.NBNote>,java.lang.String,java.lang.String) 
16:36:44.698 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[ || /index]}" onto public java.lang.String com.blog.web.frontend.IndexController.index(org.springframework.ui.Model) 
16:36:44.698 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/next || /index/next]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.frontend.IndexController.nextPageArticle(com.blog.model.pojo.framework.Pagination<com.blog.model.entity.NBArticle>,com.blog.model.pojo.bo.ArticleQueryBO) 
16:36:44.698 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/profile]}" onto public java.lang.String com.blog.web.frontend.ProfileController.profile(org.springframework.ui.Model) 
16:36:44.699 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/project/next],methods=[POST]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.frontend.ProjectController.next(com.blog.model.pojo.framework.Pagination<com.blog.model.entity.NBNote>,java.lang.Long) 
16:36:44.699 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/project]}" onto public java.lang.String com.blog.web.frontend.ProjectController.project(org.springframework.ui.Model,com.blog.model.pojo.framework.Pagination<com.blog.model.entity.NBProject>,java.lang.Long) 
16:36:44.700 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/tag/all],methods=[GET]}" onto public java.util.List<com.blog.model.entity.NBTag> com.blog.web.frontend.TagController.tagsList() 
16:36:44.700 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/init]}" onto public java.lang.String com.blog.web.InitController.init() 
16:36:44.700 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/font/list]}" onto public java.lang.String com.blog.web.InitController.b(javax.servlet.http.HttpServletRequest) 
16:36:44.700 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/init/submit]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.InitController.initSubmit(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String,java.lang.String) 
16:36:44.702 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/image/code]}" onto public org.springframework.web.servlet.ModelAndView com.blog.web.KaptchaController.kaptcha(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.io.IOException 
16:36:44.702 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/index]}" onto public java.lang.String com.blog.web.management.AdminIndexController.index(org.springframework.ui.Model) 
16:36:44.703 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/dashboard]}" onto public java.lang.String com.blog.web.management.AdminIndexController.dashboard(org.springframework.ui.Model) 
16:36:44.705 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/role/create]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.authority.AuthorityController.addRole(com.blog.model.entity.permission.NBSysRole,org.springframework.validation.BindingResult) 
16:36:44.705 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/menu/delete]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.authority.AuthorityController.deleteMenu(java.lang.Long) 
16:36:44.705 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/update/role/resource]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.authority.AuthorityController.updateRoleResource(java.lang.Long,java.lang.Long[]) 
16:36:44.705 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/menu]}" onto public java.lang.String com.blog.web.management.authority.AuthorityController.menuIndex(org.springframework.ui.Model,java.lang.Long) 
16:36:44.706 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/role]}" onto public java.lang.String com.blog.web.management.authority.AuthorityController.roleRouter(org.springframework.ui.Model) 
16:36:44.706 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/resource/tree]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.authority.AuthorityController.resourcesTree(java.lang.Long) 
16:36:44.706 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/role/delete]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.authority.AuthorityController.deleteRole(java.lang.Long) 
16:36:44.706 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/role/update]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.authority.AuthorityController.updateRole(com.blog.model.entity.permission.NBSysRole,org.springframework.validation.BindingResult) 
16:36:44.706 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/menu/list]}" onto public com.blog.model.pojo.framework.LayuiTable<com.blog.model.entity.permission.NBSysMenu> com.blog.web.management.authority.AuthorityController.roleMenuList(java.lang.Long) 
16:36:44.707 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/menu/add]}" onto public java.lang.String com.blog.web.management.authority.AuthorityController.addMenu(org.springframework.ui.Model,java.lang.Long,java.lang.String) 
16:36:44.707 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/menu/edit]}" onto public java.lang.String com.blog.web.management.authority.AuthorityController.addMenu(org.springframework.ui.Model,java.lang.Long,java.lang.Long) 
16:36:44.707 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/menu/create]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.authority.AuthorityController.createMenu(com.blog.model.entity.permission.NBSysMenu,org.springframework.validation.BindingResult) 
16:36:44.707 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/menu/update]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.authority.AuthorityController.modifyMenu(com.blog.model.entity.permission.NBSysMenu,org.springframework.validation.BindingResult) 
16:36:44.708 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/users/list],methods=[GET]}" onto public com.blog.model.pojo.framework.LayuiTable<com.blog.model.entity.permission.NBSysUser> com.blog.web.management.authority.UserController.userList(com.blog.model.pojo.framework.Pagination<com.blog.model.entity.permission.NBSysUser>,com.blog.model.entity.permission.NBSysUser) 
16:36:44.708 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/users/roles/id/update]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.authority.UserController.userRolesIdUpdate(java.lang.Long,java.lang.String) 
16:36:44.709 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/users/roles/str/update]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.authority.UserController.userRolesStrUpdate(java.lang.Long,java.lang.String) 
16:36:44.709 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/users/roles/list]}" onto public java.util.List<com.blog.model.entity.permission.NBSysRole> com.blog.web.management.authority.UserController.roleList(java.lang.Long) 
16:36:44.709 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/users/enable/update],methods=[POST]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.authority.UserController.enableUpdate(java.lang.Long,java.lang.Boolean) 
16:36:44.709 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/users]}" onto public java.lang.String com.blog.web.management.authority.UserController.usersListRouter() 
16:36:44.709 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/users/nickname/update]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.authority.UserController.nicknameUpdate(java.lang.Long,java.lang.String) 
16:36:44.710 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/cloudFile/add]}" onto public java.lang.String com.blog.web.management.CloudFileController.add(org.springframework.ui.Model) 
16:36:44.711 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/cloudFile/delete/{id}]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.CloudFileController.delete(java.lang.Long) 
16:36:44.711 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/cloudFile],methods=[GET]}" onto public java.lang.String com.blog.web.management.CloudFileController.list() 
16:36:44.711 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/cloudFile/create]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.CloudFileController.projectCreate(com.blog.model.entity.NBCloudFile,org.springframework.validation.BindingResult) 
16:36:44.711 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/cloudFile/edit]}" onto public java.lang.String com.blog.web.management.CloudFileController.edit(org.springframework.ui.Model,java.lang.Long) 
16:36:44.711 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/cloudFile/list],methods=[GET]}" onto public com.blog.model.pojo.framework.LayuiTable<com.blog.model.entity.NBCloudFile> com.blog.web.management.CloudFileController.cloudFileList(com.blog.model.pojo.framework.Pagination<com.blog.model.entity.NBCloudFile>) 
16:36:44.712 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/cloudFile/update]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.CloudFileController.projectUpdate(com.blog.model.entity.NBCloudFile,org.springframework.validation.BindingResult) 
16:36:44.713 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/article/delete/{id}]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.content.ArticleController.delete(java.lang.Long) 
16:36:44.713 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/management/article/update/top/{id}]}" onto public com.blog.model.pojo.framework.NBR com.blog.web.management.content.ArticleController.top(java.lang.Long,java.lang.Boolean) 
